states,Zn%,Fe%,Cu%,Mn%,B%,S%
Jammu And Kashmir,38.58,32.64,22.05,48.24,36.59,36.91
Himachal Pradesh,10.28,10.76,4.16,24.21,7.46,8.67
Punjab,10.34,10.48,0.47,43.58,73.22,9.66
Uttarakhand,20.53,14.84,10.58,15.54,54.93,26.97
Haryana,23.43,31.82,6.99,28.80,44.36,8.14
Delhi,2.22,10.09,1.97,14.64,15.06,19.85
Rajasthan,41.23,52.66,4.97,12.20,99.56,31.72
Uttar Pradesh,29.56,24.88,4.75,13.91,36.48,36.95
Bihar,84.70,76.98,74.94,77.20,99.93,99.86
Sikkim,25.65,7.08,24.23,29.19,39.19,19.77
Arunachal Pradesh,42.73,6.55,22.51,24.85,76.53,28.93
Nagaland,36.79,12.12,38.38,25.29,5.63,5.74
Manipur,35.78,17.63,25.88,15.38,63.45,53.00
Mizoram,7.01,6.18,0.45,1.35,32.92,32.06
Tripura,15.86,3.84,2.30,2.17,17.78,5.93
Meghalaya,37.29,8.55,12.06,34.57,78.21,53.57
Assam,9.77,2.51,3.74,3.59,87.06,8.02
West Bengal,48.17,6.46,3.15,23.41,72.07,62.35
Jharkhand,31.02,8.58,6.75,10.98,28.21,34.21
Odisha,48.31,63.48,76.40,79.26,68.62,55.95
Chhattisgarh,41.26,11.93,4.30,5.10,33.97,31.80
Madhya Pradesh,41.58,23.25,6.36,9.54,29.54,26.67
Gujarat,49.52,40.48,11.63,11.60,60.09,44.63
Daman And Diu,15.75,24.66,8.25,11.11,62.67,4.45
Dadra And Nagar Haveli,9.05,4.65,0.07,0.14,0.00,0.02
Maharashtra,51.80,64.21,2.74,12.76,59.45,63.69
Andhra Pradesh,37.52,30.31,5.51,10.64,27.99,12.88
Karnataka,57.62,52.43,7.88,17.40,50.62,35.96
Goa,18.05,0.70,2.22,1.50,52.84,42.98
Kerala,9.52,3.72,4.73,8.60,50.45,43.78
Tamil Nadu,28.95,33.63,4.09,22.19,57.63,36.90
Puducherry,9.21,13.79,1.83,6.23,99.81,0.13
Andaman And Nicobar Islands,22.26,1.33,6.54,0.75,3.50,99.30
Telangana,47.01,49.50,19.04,30.06,31.70,27.54